fluorescence,negCTRL,posCTRL,dose_ug,ENDO,HAPI
32791,FALSE,FALSE,0,TRUE,FALSE
26147,FALSE,FALSE,0,TRUE,FALSE
50282,FALSE,FALSE,0,TRUE,FALSE
51342,FALSE,FALSE,0,TRUE,FALSE
37853,FALSE,FALSE,0,TRUE,FALSE
39856,FALSE,FALSE,0,TRUE,FALSE
29508,FALSE,FALSE,0,TRUE,FALSE
26174,FALSE,FALSE,0,TRUE,FALSE
23338,FALSE,FALSE,0,TRUE,FALSE
21657,FALSE,FALSE,0,TRUE,FALSE
53894,FALSE,FALSE,0,TRUE,FALSE
53346,FALSE,FALSE,0,TRUE,FALSE
48017,FALSE,FALSE,0,TRUE,FALSE
49557,FALSE,FALSE,0,TRUE,FALSE
41770,FALSE,FALSE,0,TRUE,FALSE
36587,FALSE,FALSE,0,TRUE,FALSE
33709,FALSE,FALSE,0,TRUE,FALSE
31217,FALSE,FALSE,0,TRUE,FALSE
74140,FALSE,FALSE,0.002,TRUE,FALSE
91884,FALSE,FALSE,0.002,TRUE,FALSE
81522,FALSE,FALSE,0.002,TRUE,FALSE
65022,FALSE,FALSE,0.002,TRUE,FALSE
62921,FALSE,FALSE,0.002,TRUE,FALSE
56451,FALSE,FALSE,0.002,TRUE,FALSE
51166,FALSE,FALSE,0.002,TRUE,FALSE
45657,FALSE,FALSE,0.002,TRUE,FALSE
78271,FALSE,FALSE,0.002,TRUE,FALSE
79808,FALSE,FALSE,0.002,TRUE,FALSE
58625,FALSE,FALSE,0.002,TRUE,FALSE
50401,FALSE,FALSE,0.002,TRUE,FALSE
44594,FALSE,FALSE,0.002,TRUE,FALSE
37450,FALSE,FALSE,0.002,TRUE,FALSE
41685,FALSE,FALSE,0.002,TRUE,FALSE
31853,FALSE,FALSE,0.002,TRUE,FALSE
78463,FALSE,FALSE,0.002,TRUE,FALSE
85853,FALSE,FALSE,0.002,TRUE,FALSE
82223,FALSE,FALSE,0.002,TRUE,FALSE
87162,FALSE,FALSE,0.002,TRUE,FALSE
66758,FALSE,FALSE,0.002,TRUE,FALSE
57161,FALSE,FALSE,0.002,TRUE,FALSE
54618,FALSE,FALSE,0.002,TRUE,FALSE
47439,FALSE,FALSE,0.002,TRUE,FALSE
52700,FALSE,FALSE,0.002,TRUE,FALSE
57713,FALSE,FALSE,0.002,TRUE,FALSE
42790,FALSE,FALSE,0.002,TRUE,FALSE
48596,FALSE,FALSE,0.002,TRUE,FALSE
42147,FALSE,FALSE,0.002,TRUE,FALSE
36204,FALSE,FALSE,0.002,TRUE,FALSE
35889,FALSE,FALSE,0.002,TRUE,FALSE
29204,FALSE,FALSE,0.002,TRUE,FALSE
54047,FALSE,FALSE,0.002,TRUE,FALSE
63178,FALSE,FALSE,0.002,TRUE,FALSE
41213,FALSE,FALSE,0.002,TRUE,FALSE
39967,FALSE,FALSE,0.002,TRUE,FALSE
33589,FALSE,FALSE,0.002,TRUE,FALSE
30565,FALSE,FALSE,0.002,TRUE,FALSE
25958,FALSE,FALSE,0.002,TRUE,FALSE
21195,FALSE,FALSE,0.002,TRUE,FALSE
65255,FALSE,FALSE,0.002,TRUE,FALSE
59620,FALSE,FALSE,0.002,TRUE,FALSE
63983,FALSE,FALSE,0.002,TRUE,FALSE
