ENDO,MICRO,HAPI,negCTRL,posCTRL,dose_ug,fluorescence
TRUE,FALSE,FALSE,FALSE,FALSE,0,54780
TRUE,FALSE,FALSE,FALSE,FALSE,0,43383
TRUE,FALSE,FALSE,FALSE,FALSE,0,46430
TRUE,FALSE,FALSE,FALSE,FALSE,0,39129
TRUE,FALSE,FALSE,FALSE,FALSE,0,33454
TRUE,FALSE,FALSE,FALSE,FALSE,0,29790
TRUE,FALSE,FALSE,FALSE,FALSE,0,24338
TRUE,FALSE,FALSE,FALSE,FALSE,0,63902
TRUE,FALSE,FALSE,FALSE,FALSE,0,62785
TRUE,FALSE,FALSE,FALSE,FALSE,0,57667
TRUE,FALSE,FALSE,FALSE,FALSE,0,56151
TRUE,FALSE,FALSE,FALSE,FALSE,0,51490
TRUE,FALSE,FALSE,FALSE,FALSE,0,44963
TRUE,FALSE,FALSE,FALSE,FALSE,0,44701
TRUE,FALSE,FALSE,FALSE,FALSE,0,43549
TRUE,FALSE,FALSE,FALSE,FALSE,0,42865
TRUE,FALSE,FALSE,FALSE,FALSE,0,44668
TRUE,FALSE,FALSE,FALSE,FALSE,0,44767
TRUE,FALSE,FALSE,FALSE,FALSE,0,37454
TRUE,FALSE,FALSE,FALSE,FALSE,0,31523
TRUE,FALSE,FALSE,FALSE,FALSE,0,33332
TRUE,FALSE,FALSE,FALSE,FALSE,0,32791
TRUE,FALSE,FALSE,FALSE,FALSE,0,26147
TRUE,FALSE,FALSE,FALSE,FALSE,0,50282
TRUE,FALSE,FALSE,FALSE,FALSE,0,51342
TRUE,FALSE,FALSE,FALSE,FALSE,0,37853
TRUE,FALSE,FALSE,FALSE,FALSE,0,39856
TRUE,FALSE,FALSE,FALSE,FALSE,0,29508
TRUE,FALSE,FALSE,FALSE,FALSE,0,26174
TRUE,FALSE,FALSE,FALSE,FALSE,0,23338
TRUE,FALSE,FALSE,FALSE,FALSE,0,21657
TRUE,FALSE,FALSE,FALSE,FALSE,0,53894
TRUE,FALSE,FALSE,FALSE,FALSE,0,53346
TRUE,FALSE,FALSE,FALSE,FALSE,0,48017
TRUE,FALSE,FALSE,FALSE,FALSE,0,49557
TRUE,FALSE,FALSE,FALSE,FALSE,0,41770
TRUE,FALSE,FALSE,FALSE,FALSE,0,36587
TRUE,FALSE,FALSE,FALSE,FALSE,0,33709
TRUE,FALSE,FALSE,FALSE,FALSE,0,31217
TRUE,FALSE,FALSE,FALSE,FALSE,0.002,74140
TRUE,FALSE,FALSE,FALSE,FALSE,0.002,91884
TRUE,FALSE,FALSE,FALSE,FALSE,0.002,81522
TRUE,FALSE,FALSE,FALSE,FALSE,0.002,65022
TRUE,FALSE,FALSE,FALSE,FALSE,0.002,62921
TRUE,FALSE,FALSE,FALSE,FALSE,0.002,56451
TRUE,FALSE,FALSE,FALSE,FALSE,0.002,51166
TRUE,FALSE,FALSE,FALSE,FALSE,0.002,45657
TRUE,FALSE,FALSE,FALSE,FALSE,0.002,78271
TRUE,FALSE,FALSE,FALSE,FALSE,0.002,79808
TRUE,FALSE,FALSE,FALSE,FALSE,0.002,58625
TRUE,FALSE,FALSE,FALSE,FALSE,0.002,50401
TRUE,FALSE,FALSE,FALSE,FALSE,0.002,44594
TRUE,FALSE,FALSE,FALSE,FALSE,0.002,37450
TRUE,FALSE,FALSE,FALSE,FALSE,0.002,41685
TRUE,FALSE,FALSE,FALSE,FALSE,0.002,31853
TRUE,FALSE,FALSE,FALSE,FALSE,0.002,78463
TRUE,FALSE,FALSE,FALSE,FALSE,0.002,85853
TRUE,FALSE,FALSE,FALSE,FALSE,0.002,82223
TRUE,FALSE,FALSE,FALSE,FALSE,0.002,87162
TRUE,FALSE,FALSE,FALSE,FALSE,0.002,66758
TRUE,FALSE,FALSE,FALSE,FALSE,0.002,57161
TRUE,FALSE,FALSE,FALSE,FALSE,0.002,54618
TRUE,FALSE,FALSE,FALSE,FALSE,0.002,47439
