Group,LDH
MIXED.ENDO-HAPI 20,1.199
MIXED.ENDO-HAPI 20,1.141
MIXED.ENDO-HAPI 20,0.978
MIXED.ENDO-HAPI 20,0.986
MIXED.ENDO-HAPI 20,0.733
MIXED.ENDO-HAPI 20,1.014
MIXED.ENDO-HAPI 20,1.065
MIXED.ENDO-HAPI 20,1.264
MIXED.ENDO-HAPI 20,1.165
MIXED.ENDO-HAPI 20,1.175
MIXED.ENDO-HAPI 20,1.16
MIXED.ENDO-HAPI 20,1.401
MIXED.ENDO-HAPI 20,1.076
MIXED.ENDO-HAPI 20,1.237
MIXED.ENDO-HAPI 20,1.005
MIXED.ENDO-HAPI 20,0.985
MIXED.ENDO-HAPI 20,0.986
MIXED.ENDO-HAPI 20,0.89
MIXED.ENDO-HAPI 20,1.126
MIXED.ENDO-HAPI 20,0.907
MIXED.ENDO-HAPI 20,0.545
MIXED.ENDO-HAPI 20,0.655
MIXED.ENDO-HAPI 20,0.645
MIXED.ENDO-HAPI 20,0.631
MIXED.ENDO-HAPI 20,0.681
MIXED.ENDO-HAPI 20,0.712
MIXED.ENDO-HAPI 20,0.756
MIXED.ENDO-HAPI 20,0.728
MIXED.ENDO-HAPI 20,0.701
MIXED.ENDO-HAPI 20,0.719
MIXED.ENDO-HAPI 20,0.651
MIXED.ENDO-HAPI 20,0.668
MIXED.ENDO-HAPI 20,0.752
MIXED.ENDO-HAPI 20,0.649
MIXED.ENDO-HAPI 20,0.744
MIXED.ENDO-HAPI 20,0.772
MIXED.ENDO-HAPI 20,0.813
MIXED.ENDO-HAPI 20,0.709
MIXED.ENDO-HAPI 20,0.758
MIXED.ENDO-HAPI 20,0.719
MIXED.ENDO-HAPI 20,0.719
MIXED.ENDO-HAPI 20,0.697
MIXED.ENDO-HAPI 20,0.737
MIXED.ENDO-HAPI 20,0.765
