Group,ROS
MIXED.ENDO-HAPI 0.002,48124
MIXED.ENDO-HAPI 0.002,39047
MIXED.ENDO-HAPI 0.002,31915
MIXED.ENDO-HAPI 0.002,28593
MIXED.ENDO-HAPI 0.002,25769
MIXED.ENDO-HAPI 0.002,25241
MIXED.ENDO-HAPI 0.002,25430
MIXED.ENDO-HAPI 0.002,33510
MIXED.ENDO-HAPI 0.002,33489
MIXED.ENDO-HAPI 0.002,36075
MIXED.ENDO-HAPI 0.002,34542
MIXED.ENDO-HAPI 0.002,33377
MIXED.ENDO-HAPI 0.002,33184
MIXED.ENDO-HAPI 0.002,32558
MIXED.ENDO-HAPI 0.002,23606
MIXED.ENDO-HAPI 0.002,52258
MIXED.ENDO-HAPI 0.002,53252
MIXED.ENDO-HAPI 0.002,41671
MIXED.ENDO-HAPI 0.002,34244
MIXED.ENDO-HAPI 0.002,27753
MIXED.ENDO-HAPI 0.002,28262
MIXED.ENDO-HAPI 0.002,23759
MIXED.ENDO-HAPI 0.002,21690
MIXED.ENDO-HAPI 0.002,58400
MIXED.ENDO-HAPI 0.002,62007
MIXED.ENDO-HAPI 0.002,50200
MIXED.ENDO-HAPI 0.002,40503
MIXED.ENDO-HAPI 0.002,32931
MIXED.ENDO-HAPI 0.002,31268
MIXED.ENDO-HAPI 0.002,27966
MIXED.ENDO-HAPI 0.002,33326
MIXED.ENDO-HAPI 0.002,35164
MIXED.ENDO-HAPI 0.002,39574
MIXED.ENDO-HAPI 0.002,39177
MIXED.ENDO-HAPI 0.002,38971
MIXED.ENDO-HAPI 0.002,36208
MIXED.ENDO-HAPI 0.002,36655
MIXED.ENDO-HAPI 0.002,32619
MIXED.ENDO-HAPI 0.002,30907
MIXED.ENDO-HAPI 0.002,58271
MIXED.ENDO-HAPI 0.002,53341
MIXED.ENDO-HAPI 0.002,49376
MIXED.ENDO-HAPI 1,39977
MIXED.ENDO-HAPI 1,32276
MIXED.ENDO-HAPI 1,27178
MIXED.ENDO-HAPI 1,24731
MIXED.ENDO-HAPI 1,24710
MIXED.ENDO-HAPI 1,58920
MIXED.ENDO-HAPI 1,62738
MIXED.ENDO-HAPI 1,57450
MIXED.ENDO-HAPI 1,46043
MIXED.ENDO-HAPI 1,41599
MIXED.ENDO-HAPI 1,35717
MIXED.ENDO-HAPI 1,34630
MIXED.ENDO-HAPI 1,27409
MIXED.ENDO-HAPI 1,39821
MIXED.ENDO-HAPI 1,40237
MIXED.ENDO-HAPI 1,49469
MIXED.ENDO-HAPI 1,42732
MIXED.ENDO-HAPI 1,36080
MIXED.ENDO-HAPI 1,33981
MIXED.ENDO-HAPI 1,34667
MIXED.ENDO-HAPI 1,29390
MIXED.ENDO-HAPI 1,49768
MIXED.ENDO-HAPI 1,52937
MIXED.ENDO-HAPI 1,39042
MIXED.ENDO-HAPI 1,38529
MIXED.ENDO-HAPI 1,29537
MIXED.ENDO-HAPI 1,28707
MIXED.ENDO-HAPI 1,23060
MIXED.ENDO-HAPI 1,21191
MIXED.ENDO-HAPI 1,29378
MIXED.ENDO-HAPI 1,62267
MIXED.ENDO-HAPI 1,44471
MIXED.ENDO-HAPI 1,45322
MIXED.ENDO-HAPI 1,37831
MIXED.ENDO-HAPI 1,33044
MIXED.ENDO-HAPI 1,26917
MIXED.ENDO-HAPI 1,24102
MIXED.ENDO-HAPI 1,36695
MIXED.ENDO-HAPI 1,40613
MIXED.ENDO-HAPI 1,39773
MIXED.ENDO-HAPI 1,44640
MIXED.ENDO-HAPI 1,38896
MIXED.ENDO-HAPI 1,37815
MIXED.ENDO-HAPI 1,33323
MIXED.ENDO-HAPI 1,32813
MIXED.ENDO-HAPI 20,57779
MIXED.ENDO-HAPI 20,59187
MIXED.ENDO-HAPI 20,47015
MIXED.ENDO-HAPI 20,42567
MIXED.ENDO-HAPI 20,37946
MIXED.ENDO-HAPI 20,38475
MIXED.ENDO-HAPI 20,35222
MIXED.ENDO-HAPI 20,29725
MIXED.ENDO-HAPI 20,72916
MIXED.ENDO-HAPI 20,77544
MIXED.ENDO-HAPI 20,59637
MIXED.ENDO-HAPI 20,54722
MIXED.ENDO-HAPI 20,45166
MIXED.ENDO-HAPI 20,38120
MIXED.ENDO-HAPI 20,33817
MIXED.ENDO-HAPI 20,32838
MIXED.ENDO-HAPI 20,37173
MIXED.ENDO-HAPI 20,46485
MIXED.ENDO-HAPI 20,45278
MIXED.ENDO-HAPI 20,49380
MIXED.ENDO-HAPI 20,41470
MIXED.ENDO-HAPI 20,40711
MIXED.ENDO-HAPI 20,36824
MIXED.ENDO-HAPI 20,36842
MIXED.ENDO-HAPI 20,68179
MIXED.ENDO-HAPI 20,79554
MIXED.ENDO-HAPI 20,62382
MIXED.ENDO-HAPI 20,55594
MIXED.ENDO-HAPI 20,40214
MIXED.ENDO-HAPI 20,37715
MIXED.ENDO-HAPI 20,28312
MIXED.ENDO-HAPI 20,31771
MIXED.ENDO-HAPI 20,78000
MIXED.ENDO-HAPI 20,71933
MIXED.ENDO-HAPI 20,51193
MIXED.ENDO-HAPI 20,56576
MIXED.ENDO-HAPI 20,39958
MIXED.ENDO-HAPI 20,35928
MIXED.ENDO-HAPI 20,31178
MIXED.ENDO-HAPI 20,28495
MIXED.ENDO-HAPI 20,40671
MIXED.ENDO-HAPI 20,45568
MIXED.ENDO-HAPI 20,45174
MIXED.ENDO-HAPI 20,45748
MIXED.ENDO-HAPI 20,44623
MIXED.ENDO-HAPI 20,40771
MIXED.ENDO-HAPI 20,37368
MIXED.ENDO-HAPI 20,38919
HAPI 0,32663
HAPI 0,27540
HAPI 0,22268
HAPI 0,20322
HAPI 0,17699
HAPI 0,16101
HAPI 0,13440
HAPI 0,15430
HAPI 0,21644
HAPI 0,24358
HAPI 0,17241
HAPI 0,16720
HAPI 0,13279
HAPI 0,11886
HAPI 0,12874
HAPI 0,11884
HAPI 0,14114
HAPI 0,13206
HAPI 0,12105
HAPI 0,13137
HAPI 0,11594
HAPI 0,11781
HAPI 0,10399
HAPI 0,10410
HAPI 0,44181
HAPI 0,34594
HAPI 0,27291
HAPI 0,26815
HAPI 0,21297
HAPI 0,16930
HAPI 0,15638
HAPI 0,13439
HAPI 0,19367
HAPI 0,18292
HAPI 0,14602
HAPI 0,14457
HAPI 0,12465
HAPI 0,12085
HAPI 0,11718
HAPI 0,10241
HAPI 0,11095
HAPI 0,9700
HAPI 0,10702
HAPI 0,12337
HAPI 0,9762
HAPI 0,8935
HAPI 0,9327
HAPI 0,8795
HAPI 0.002,40818
HAPI 0.002,33753
HAPI 0.002,32299
HAPI 0.002,24997
HAPI 0.002,24264
HAPI 0.002,19377
HAPI 0.002,18214
HAPI 0.002,18582
HAPI 0.002,32194
HAPI 0.002,18649
HAPI 0.002,18404
HAPI 0.002,21752
HAPI 0.002,19438
HAPI 0.002,15423
HAPI 0.002,18932
HAPI 0.002,13048
HAPI 0.002,15362
HAPI 0.002,12916
HAPI 0.002,13007
HAPI 0.002,14815
HAPI 0.002,12203
HAPI 0.002,10658
HAPI 0.002,11208
HAPI 0.002,12944
HAPI 0.002,45775
HAPI 0.002,34367
HAPI 0.002,34332
HAPI 0.002,28637
HAPI 0.002,29118
HAPI 0.002,20322
HAPI 0.002,21326
HAPI 0.002,18524
HAPI 0.002,24770
HAPI 0.002,25178
HAPI 0.002,23157
HAPI 0.002,17221
HAPI 0.002,17279
HAPI 0.002,13362
HAPI 0.002,13726
HAPI 0.002,15135
HAPI 0.002,15507
HAPI 0.002,18649
HAPI 0.002,16683
HAPI 0.002,14769
HAPI 0.002,13704
HAPI 0.002,12610
HAPI 0.002,10614
HAPI 0.002,11831
HAPI 1,44620
HAPI 1,40655
HAPI 1,31164
HAPI 1,26365
HAPI 1,22980
HAPI 1,18258
HAPI 1,18439
HAPI 1,16358
HAPI 1,26582
HAPI 1,23323
HAPI 1,17838
HAPI 1,17425
HAPI 1,16216
HAPI 1,14770
HAPI 1,13730
HAPI 1,12588
HAPI 1,15215
HAPI 1,14316
HAPI 1,14666
HAPI 1,14538
HAPI 1,15818
HAPI 1,14205
HAPI 1,13616
HAPI 1,13240
HAPI 1,42819
HAPI 1,30168
HAPI 1,25115
HAPI 1,22468
HAPI 1,24098
HAPI 1,18688
HAPI 1,15001
HAPI 1,13256
HAPI 1,23963
HAPI 1,21830
HAPI 1,19622
HAPI 1,18591
HAPI 1,16033
HAPI 1,12838
HAPI 1,13441
HAPI 1,11967
HAPI 1,16752
HAPI 1,17513
HAPI 1,14994
HAPI 1,14930
HAPI 1,14849
HAPI 1,15359
HAPI 1,14848
HAPI 1,13955
HAPI 20,41389
HAPI 20,36565
HAPI 20,29843
HAPI 20,22723
HAPI 20,24865
HAPI 20,20556
HAPI 20,22374
HAPI 20,22956
HAPI 20,25357
HAPI 20,23271
HAPI 20,25022
HAPI 20,21122
HAPI 20,20522
HAPI 20,14039
HAPI 20,13509
HAPI 20,13847
HAPI 20,20019
HAPI 20,17218
HAPI 20,18627
HAPI 20,16952
HAPI 20,16768
HAPI 20,13749
HAPI 20,14812
HAPI 20,13852
HAPI 20,57071
HAPI 20,46858
HAPI 20,40530
HAPI 20,40056
HAPI 20,32621
HAPI 20,30177
HAPI 20,18979
HAPI 20,18401
HAPI 20,24819
HAPI 20,24245
HAPI 20,22047
HAPI 20,25602
HAPI 20,17185
HAPI 20,13915
HAPI 20,13081
HAPI 20,13273
HAPI 20,16360
HAPI 20,15271
HAPI 20,14697
HAPI 20,25164
HAPI 20,17402
HAPI 20,13370
HAPI 20,13337
HAPI 20,42617
MIXED.ENDO-MICRO 0,11347
MIXED.ENDO-MICRO 0,10864
MIXED.ENDO-MICRO 0,10589
MIXED.ENDO-MICRO 0,10189
MIXED.ENDO-MICRO 0,9404
MIXED.ENDO-MICRO 0,9299
MIXED.ENDO-MICRO 0,8783
MIXED.ENDO-MICRO 0,8700
MIXED.ENDO-MICRO 0,12088
MIXED.ENDO-MICRO 0,12930
MIXED.ENDO-MICRO 0,11632
MIXED.ENDO-MICRO 0,10409
MIXED.ENDO-MICRO 0,10239
MIXED.ENDO-MICRO 0,9719
MIXED.ENDO-MICRO 0,11148
MIXED.ENDO-MICRO 0,10697
MIXED.ENDO-MICRO 0,12470
MIXED.ENDO-MICRO 0,11981
MIXED.ENDO-MICRO 0,13026
MIXED.ENDO-MICRO 0,12689
MIXED.ENDO-MICRO 0,13120
MIXED.ENDO-MICRO 0,12303
MIXED.ENDO-MICRO 0,12316
MIXED.ENDO-MICRO 0,13633
MIXED.ENDO-MICRO 0,11569
MIXED.ENDO-MICRO 0,12742
MIXED.ENDO-MICRO 0,11181
MIXED.ENDO-MICRO 0,10769
MIXED.ENDO-MICRO 0,9970
MIXED.ENDO-MICRO 0,9363
MIXED.ENDO-MICRO 0,9588
MIXED.ENDO-MICRO 0,10401
MIXED.ENDO-MICRO 0,9995
MIXED.ENDO-MICRO 0,10384
MIXED.ENDO-MICRO 0,9798
MIXED.ENDO-MICRO 0,9473
MIXED.ENDO-MICRO 0,9845
MIXED.ENDO-MICRO 0,9225
MIXED.ENDO-MICRO 0,9945
MIXED.ENDO-MICRO 0,8504
MIXED.ENDO-MICRO 0,12124
MIXED.ENDO-MICRO 0,12200
MIXED.ENDO-MICRO 0,12819
MIXED.ENDO-MICRO 0,13622
MIXED.ENDO-MICRO 0,11437
MIXED.ENDO-MICRO 0,11728
MIXED.ENDO-MICRO 0,11680
MIXED.ENDO-MICRO 0,11536
MIXED.ENDO-MICRO 0.002,12571
MIXED.ENDO-MICRO 0.002,13604
MIXED.ENDO-MICRO 0.002,12736
MIXED.ENDO-MICRO 0.002,11633
MIXED.ENDO-MICRO 0.002,11799
MIXED.ENDO-MICRO 0.002,11286
MIXED.ENDO-MICRO 0.002,10844
MIXED.ENDO-MICRO 0.002,9867
MIXED.ENDO-MICRO 0.002,12613
MIXED.ENDO-MICRO 0.002,12928
MIXED.ENDO-MICRO 0.002,12133
MIXED.ENDO-MICRO 0.002,13603
MIXED.ENDO-MICRO 0.002,10509
MIXED.ENDO-MICRO 0.002,9726
MIXED.ENDO-MICRO 0.002,10511
MIXED.ENDO-MICRO 0.002,11446
MIXED.ENDO-MICRO 0.002,13397
MIXED.ENDO-MICRO 0.002,13093
MIXED.ENDO-MICRO 0.002,13421
MIXED.ENDO-MICRO 0.002,12195
MIXED.ENDO-MICRO 0.002,13229
MIXED.ENDO-MICRO 0.002,12897
MIXED.ENDO-MICRO 0.002,13928
MIXED.ENDO-MICRO 0.002,13132
MIXED.ENDO-MICRO 0.002,14947
MIXED.ENDO-MICRO 0.002,14404
MIXED.ENDO-MICRO 0.002,14201
MIXED.ENDO-MICRO 0.002,15905
MIXED.ENDO-MICRO 0.002,13165
MIXED.ENDO-MICRO 0.002,13549
MIXED.ENDO-MICRO 0.002,11822
MIXED.ENDO-MICRO 0.002,11098
MIXED.ENDO-MICRO 0.002,16017
MIXED.ENDO-MICRO 0.002,16061
