Endothelial,Microglial,Concentration,G-CSF,Eotaxin,GM-CSF,IL-1a,Leptin,MIP-1a,lL-4,IL-1b,IL-2,IL-6,EGF,IL-13,IL-10,IL-12p70,IFN-y,IL-5,IL-17A,IL-18,MCP-1,IP-10,GRO/KC/CINC-1,VEGF,Fractalkine,LIX,MIP-2,TNF-a,RANTES
True,False,0 ug/ml,18.0,25.0,49.0,44.0,44.0,2714.0,14.0,78.0,15.0,21.0,14.0,88.0,90.0,26.0,72.0,10.0,30.0,53.0,1215.0,320.0,5171.0,2757.0,36.0,317,182.0,33.0,2253.0
True,False,0 ug/ml,17.0,14.0,46.0,26.0,47.0,6605.0,26.0,41.0,37.0,14.0,27.0,16.0,49.0,13.0,7.0,39.0,54.0,41.0,1107.0,535.0,4368.0,3664.0,44.0,226,369.0,76.0,3476.0
True,False,0 ug/ml,66.0,9.0,34.0,31.0,47.0,4345.0,15.0,46.0,31.0,15.0,19.0,15.0,81.0,7.0,33.0,28.0,104.0,43.0,794.0,366.0,5475.0,2751.0,125.0,155,311.0,37.0,1865.0
True,False,0 ug/ml,17.0,10.0,41.0,230.0,82.0,6934.0,12.0,45.0,14.0,26.0,50.0,18.0,155.0,9.0,41.0,14.0,73.0,24.0,1631.0,1152.0,5704.0,2164.0,72.0,380,762.0,56.0,2717.0
True,False,0 ug/ml,33.0,16.0,73.0,155.0,40.0,7824.0,27.0,251.0,26.0,22.0,34.0,31.0,126.0,17.0,29.0,13.0,47.0,58.0,1034.0,1206.0,8291.0,3745.0,45.0,1341,322.0,60.0,1781.0
True,False,0 ug/ml,17.0,20.0,62.0,46.0,65.0,8481.0,23.0,49.0,23.0,21.0,31.0,23.0,139.0,13.0,4.0,52.0,24.0,35.0,612.0,326.0,5937.0,2691.0,50.0,376,612.0,41.0,2702.0
True,False,0 ug/ml,32.0,12.0,85.0,20.0,50.0,8185.0,17.0,31.0,29.0,24.0,17.0,22.0,51.0,42.0,40.0,8.0,39.0,56.0,1242.0,403.0,2521.0,2484.0,54.0,70,321.0,57.0,2669.0
True,False,0 ug/ml,15.0,18.0,27.0,11.0,51.0,9088.0,32.0,38.0,1.0,39.0,27.0,26.0,109.0,6.0,46.0,61.0,40.0,543.0,1201.0,382.0,3524.0,5061.0,55.0,385,446.0,31.0,2953.0
True,False,0 ug/ml,24.0,14.0,45.0,30.0,26.0,10730.0,22.0,40.0,22.0,11.0,17.0,19.0,147.0,26.0,30.0,10.0,40.0,45.0,1180.0,3813.0,7036.0,2159.0,78.0,111,451.0,46.0,1736.0
True,False,0 ug/ml,23.0,42.0,39.0,40.0,87.0,7721.0,15.0,31.0,22.0,16.0,14.0,16.0,173.0,10.0,16.0,23.0,37.0,54.0,1509.0,202.0,7117.0,3633.0,98.0,322,532.0,64.0,1667.0
True,False,0 ug/ml,15.0,129.0,55.0,36.0,40.0,17.0,25.0,41.0,25.0,32.0,42.0,59.0,115.0,10.0,46.0,54.0,69.0,58.0,1758.0,2071.0,13834.0,2947.0,52.0,254,319.0,44.0,1593.0
True,False,0 ug/ml,29.0,20.0,50.0,22.0,40.0,6752.0,7.0,33.0,13.0,12.0,22.0,24.0,79.0,13.0,32.0,16.0,26.0,48.0,1747.0,1229.0,6186.0,4374.0,115.0,311,845.0,32.0,2714.0
True,False,0 ug/ml,21.0,26.0,49.0,25.0,32.0,9371.0,13.0,27.0,23.0,28.0,16.0,21.0,87.0,9.0,41.0,28.0,35.0,48.0,861.0,406.0,5666.0,4905.0,43.0,433,574.0,38.0,2332.0
True,False,0 ug/ml,18.0,30.0,31.0,35.0,48.0,7454.0,21.0,31.0,15.0,13.0,20.0,21.0,81.0,19.0,20.0,15.0,372.0,38.0,8.0,2352.0,2321.0,4336.0,40.0,388,262.0,34.0,3023.0
True,False,0 ug/ml,21.0,14.0,42.0,30.0,41.0,6807.0,14.0,31.0,16.0,20.0,32.0,17.0,128.0,12.0,38.0,12.0,61.0,34.0,927.0,16.0,7987.0,2505.0,8928.0,271,370.0,36.0,3737.0
True,False,0 ug/ml,19.0,19.0,43.0,56.0,67.0,5371.0,14.0,33.0,18.0,27.0,28.0,24.0,10.0,9.0,58.0,24.0,55.0,60.0,2359.0,167.0,1414.0,2164.0,97.0,337,522.0,51.0,476.0
True,False,0 ug/ml,20.0,29.0,46.0,29.0,41.0,9815.0,15.0,34.0,33.0,94.0,20.0,19.0,132.0,23.0,27.0,28.0,82.0,58.0,770.0,1201.0,5379.0,1119.0,52.0,249,448.0,29.0,2743.0
True,False,0 ug/ml,23.0,43.0,32.0,33.0,39.0,3969.0,12.0,44.0,29.0,15.0,12.0,24.0,128.0,15.0,52.0,20.0,29.0,34.0,1250.0,2617.0,5395.0,6172.0,28.0,459,267.0,70.0,2996.0
True,False,0 ug/ml,19.0,23.0,54.0,23.0,92.0,7843.0,20.0,52.0,17.0,15.0,24.0,41.0,99.0,13.0,57.0,14.0,40.0,66.0,3166.0,1461.0,3029.0,470.0,50.0,311,573.0,47.0,3091.0
True,False,0 ug/ml,18.0,25.0,36.0,19.0,46.0,8295.0,14.0,152.0,17.0,27.0,18.0,32.0,44.0,14.0,35.0,7.0,29.0,50.0,764.0,1365.0,9441.0,534.0,55.0,108,412.0,72.0,760.0
True,False,0 ug/ml,13.0,12.0,43.0,17.0,40.0,7209.0,11.0,22.0,12.0,18.0,16.0,20.0,72.0,12.0,45.0,13.0,87.0,83.0,1145.0,2955.0,5700.0,2601.0,52.0,553,475.0,52.0,2905.0
True,False,0 ug/ml,14.0,16.0,50.0,26.0,57.0,7444.0,12.0,19.0,25.0,19.0,26.0,19.0,105.0,17.0,39.0,159.0,58.0,99.0,2503.0,1531.0,3599.0,3940.0,52.0,356,578.0,36.0,466.0
True,False,0 ug/ml,16.0,23.0,83.0,26.0,73.0,6440.0,16.0,98.0,19.0,20.0,14.0,20.0,151.0,24.0,43.0,32.0,77.0,52.0,757.0,1387.0,7007.0,2289.0,49.0,222,237.0,97.0,3352.0
True,False,0 ug/ml,14.0,32.0,56.0,19.0,40.0,9792.0,9.0,29.0,10.0,20.0,22.0,24.0,182.0,19.0,47.0,15.0,52.0,49.0,521.0,1094.0,6454.0,3300.0,127.0,293,506.0,79.0,3110.0
True,False,0 ug/ml,11.0,24.0,27.0,33.0,52.0,2596.0,11.0,26.0,26.0,26.0,40.0,25.0,113.0,13.0,80.0,26.0,14.0,34.0,739.0,1097.0,5578.0,3804.0,52.0,242,159.0,53.0,2695.0
True,False,0 ug/ml,22.0,20.0,23.0,24.0,42.0,7818.0,28.0,147.0,16.0,12.0,18.0,19.0,210.0,13.0,39.0,16.0,43.0,45.0,1139.0,416.0,7225.0,2770.0,42.0,275,439.0,66.0,5418.0
True,False,0 ug/ml,20.0,6.0,47.0,27.0,38.0,7480.0,19.0,36.0,13.0,25.0,27.0,20.0,156.0,8.0,50.0,10.0,43.0,41.0,1577.0,3086.0,5941.0,2935.0,65.0,494,423.0,44.0,891.0
True,False,0 ug/ml,26.0,22.0,60.0,18.0,54.0,5743.0,10.0,50.0,19.0,44.0,16.0,25.0,155.0,75.0,36.0,13.0,44.0,72.0,1750.0,1010.0,5945.0,3977.0,30.0,293,378.0,35.0,3902.0
True,False,0 ug/ml,14.0,14.0,32.0,15.0,48.0,7683.0,13.0,16.0,22.0,21.0,16.0,37.0,78.0,9.0,40.0,302.0,52.0,44.0,1147.0,1907.0,6249.0,2617.0,42.0,318,823.0,43.0,2767.0
True,False,0 ug/ml,15.0,13.0,82.0,20.0,24.0,8834.0,31.0,24.0,23.0,20.0,18.0,19.0,134.0,12.0,30.0,41.0,34.0,37.0,2339.0,605.0,7625.0,3427.0,86.0,224,345.0,53.0,2409.0
True,False,0 ug/ml,41.0,18.0,49.0,20.0,51.0,7258.0,14.0,41.0,28.0,17.0,24.0,21.0,68.0,45.0,40.0,16.0,30.0,28.0,1153.0,1189.0,5735.0,2204.0,55.0,415,100.0,102.0,5001.0
True,False,0 ug/ml,11.0,18.0,124.0,22.0,37.0,8827.0,17.0,33.0,24.0,22.0,17.0,22.0,156.0,16.0,69.0,13.0,186.0,49.0,949.0,1809.0,7203.0,3238.0,37.0,349,49.0,44.0,3108.0
True,False,0 ug/ml,91.0,20.0,51.0,34.0,26.0,7784.0,10.0,27.0,32.0,16.0,39.0,31.0,91.0,13.0,63.0,39.0,59.0,47.0,1124.0,2029.0,6151.0,3155.0,51.0,343,526.0,176.0,2557.0
True,False,0 ug/ml,13.0,15.0,62.0,34.0,33.0,7133.0,10.0,28.0,20.0,14.0,16.0,22.0,113.0,20.0,39.0,18.0,39.0,57.0,989.0,473.0,4964.0,2256.0,53.0,325,388.0,41.0,3886.0
True,False,0 ug/ml,34.0,27.0,36.0,59.0,53.0,10070.0,20.0,23.0,12.0,22.0,16.0,14.0,81.0,13.0,40.0,19.0,56.0,55.0,956.0,1834.0,5908.0,3906.0,56.0,362,501.0,55.0,1834.0
True,False,0 ug/ml,17.0,12.0,87.0,21.0,37.0,9337.0,48.0,23.0,17.0,29.0,26.0,21.0,89.0,9.0,12.0,18.0,52.0,40.0,706.0,1510.0,6822.0,5435.0,67.0,352,291.0,29.0,2845.0
True,False,0 ug/ml,18.0,10.0,56.0,29.0,453.0,7350.0,15.0,44.0,21.0,88.0,13.0,38.0,93.0,22.0,33.0,38.0,62.0,51.0,1045.0,291.0,8445.0,2465.0,46.0,225,612.0,42.0,2460.0
True,False,0 ug/ml,23.0,26.0,48.0,29.0,165.0,6863.0,30.0,36.0,27.0,15.0,18.0,27.0,89.0,15.0,39.0,15.0,41.0,37.0,1035.0,437.0,7159.0,2518.0,38.0,241,365.0,43.0,1988.0
True,False,0 ug/ml,19.0,18.0,205.0,25.0,31.0,7332.0,12.0,31.0,18.0,23.0,32.0,10.0,192.0,19.0,26.0,12.0,51.0,50.0,1211.0,1257.0,5764.0,29.0,47.0,432,569.0,156.0,1273.0
True,False,0 ug/ml,19.0,20.0,48.0,27.0,74.0,7692.0,22.0,31.0,18.0,22.0,20.0,13.0,87.0,14.0,31.0,30.0,46.0,50.0,935.0,215.0,6222.0,2907.0,59.0,287,421.0,45.0,2633.0
True,False,0 ug/ml,18.0,15.0,32.0,39.0,36.0,9395.0,17.0,29.0,32.0,29.0,25.0,16.0,110.0,13.0,26.0,11.0,33.0,53.0,1080.0,1378.0,10064.0,2663.0,43.0,357,467.0,40.0,3384.0
True,False,0 ug/ml,29.0,17.0,50.0,30.0,41.0,6899.0,11.0,30.0,41.0,24.0,31.0,25.0,77.0,35.0,79.0,11.0,24.0,86.0,1331.0,1362.0,4557.0,2670.0,55.0,357,16.0,11.0,2954.0
True,False,0 ug/ml,14.0,26.0,49.0,21.0,72.0,8337.0,14.0,62.0,40.0,26.0,19.0,31.0,122.0,10.0,29.0,47.0,31.0,30.0,807.0,2335.0,9451.0,2778.0,1107.0,289,139.0,41.0,2314.0
True,False,0 ug/ml,29.0,16.0,46.0,33.0,188.0,7940.0,46.0,35.0,19.0,59.0,10.0,58.0,131.0,14.0,52.0,14.0,58.0,57.0,1176.0,1031.0,6485.0,3471.0,63.0,481,954.0,35.0,2793.0
True,False,0 ug/ml,9.0,88.0,78.0,31.0,39.0,6633.0,24.0,46.0,20.0,24.0,17.0,21.0,106.0,10.0,36.0,19.0,19.0,42.0,698.0,278.0,6508.0,3714.0,47.0,339,290.0,115.0,1370.0
True,False,0 ug/ml,7.0,6.0,50.0,24.0,78.0,5381.0,42.0,39.0,49.0,16.0,27.0,20.0,80.0,6.0,51.0,19.0,80.0,30.0,1190.0,260.0,12029.0,4191.0,74.0,350,1154.0,47.0,2616.0
True,False,0 ug/ml,16.0,13.0,64.0,28.0,42.0,1922.0,19.0,19.0,37.0,24.0,23.0,39.0,87.0,15.0,57.0,20.0,39.0,45.0,1130.0,1668.0,7197.0,2747.0,41.0,548,571.0,55.0,3418.0
True,False,0 ug/ml,20.0,14.0,72.0,19.0,71.0,6063.0,26.0,48.0,20.0,79.0,46.0,20.0,144.0,21.0,115.0,18.0,63.0,27.0,1794.0,1668.0,4918.0,2667.0,52.0,308,381.0,46.0,4028.0
True,False,0 ug/ml,25.0,22.0,36.0,26.0,40.0,7096.0,13.0,22.0,8.0,26.0,15.0,53.0,99.0,21.0,51.0,17.0,37.0,48.0,919.0,352.0,7585.0,3301.0,55.0,334,116.0,55.0,2970.0
True,False,0 ug/ml,13.0,8.0,53.0,22.0,38.0,7133.0,13.0,46.0,19.0,118.0,31.0,23.0,99.0,15.0,42.0,48.0,51.0,40.0,1188.0,190.0,2103.0,8584.0,18.0,383,43.0,40.0,3455.0
True,False,0 ug/ml,24.0,14.0,50.0,29.0,29.0,6950.0,31.0,26.0,17.0,20.0,12.0,19.0,155.0,14.0,39.0,69.0,9.0,53.0,999.0,1928.0,6712.0,2703.0,59.0,282,602.0,41.0,5120.0
True,False,0 ug/ml,16.0,9.0,52.0,21.0,80.0,6737.0,11.0,48.0,14.0,23.0,35.0,52.0,149.0,6.0,48.0,10.0,52.0,68.0,2181.0,993.0,4815.0,2527.0,48.0,274,331.0,44.0,3918.0
True,False,0 ug/ml,21.0,13.0,54.0,25.0,61.0,6536.0,29.0,24.0,16.0,19.0,13.0,33.0,85.0,27.0,27.0,17.0,63.0,71.0,901.0,494.0,5848.0,2457.0,26.0,279,906.0,42.0,2724.0
True,False,0 ug/ml,12.0,13.0,64.0,32.0,53.0,6529.0,16.0,38.0,23.0,40.0,26.0,26.0,102.0,10.0,19.0,25.0,53.0,39.0,1671.0,365.0,6049.0,2860.0,37.0,414,371.0,42.0,2449.0
True,False,0 ug/ml,12.0,28.0,28.0,19.0,41.0,7084.0,12.0,44.0,24.0,24.0,17.0,22.0,58.0,10.0,68.0,10.0,71.0,41.0,1098.0,902.0,5665.0,1983.0,50.0,244,406.0,82.0,1950.0
True,False,0 ug/ml,25.0,18.0,50.0,24.0,53.0,9040.0,16.0,55.0,12.0,26.0,15.0,15.0,168.0,10.0,30.0,14.0,116.0,58.0,1288.0,288.0,6753.0,3921.0,86.0,129,344.0,56.0,3848.0
True,False,0 ug/ml,12.0,23.0,45.0,27.0,57.0,7564.0,20.0,63.0,29.0,20.0,16.0,31.0,89.0,6.0,37.0,17.0,13.0,57.0,722.0,1863.0,7271.0,2557.0,53.0,196,263.0,97.0,1509.0
True,False,0 ug/ml,26.0,17.0,63.0,29.0,70.0,7045.0,17.0,34.0,9.0,12.0,18.0,23.0,115.0,18.0,34.0,130.0,43.0,46.0,633.0,1422.0,6036.0,2994.0,60.0,130,11.0,47.0,3752.0
True,False,0 ug/ml,9.0,17.0,46.0,22.0,38.0,7430.0,18.0,40.0,46.0,26.0,10.0,20.0,103.0,6.0,37.0,99.0,28.0,54.0,1132.0,339.0,6271.0,2810.0,212.0,224,650.0,36.0,2897.0
True,False,0 ug/ml,13.0,13.0,41.0,30.0,58.0,6040.0,19.0,7.0,20.0,37.0,18.0,26.0,116.0,21.0,27.0,9.0,28.0,39.0,1452.0,105.0,7271.0,3683.0,51.0,285,529.0,27.0,2874.0
True,False,0 ug/ml,15.0,18.0,42.0,10.0,55.0,9656.0,8.0,46.0,47.0,11.0,83.0,20.0,98.0,17.0,55.0,15.0,94.0,40.0,1034.0,1238.0,952.0,2570.0,92.0,600,468.0,43.0,3487.0
True,False,0 ug/ml,15.0,14.0,43.0,22.0,41.0,5976.0,15.0,47.0,28.0,17.0,17.0,21.0,137.0,65.0,59.0,45.0,33.0,57.0,1172.0,570.0,7858.0,2492.0,46.0,228,441.0,41.0,892.0
True,False,0 ug/ml,19.0,10.0,61.0,22.0,12235.0,9035.0,13.0,41.0,15.0,26.0,54.0,33.0,180.0,9.0,42.0,23.0,46.0,36.0,8.0,664.0,6835.0,3611.0,94.0,460,272.0,35.0,2904.0
True,False,0 ug/ml,303.0,28.0,42.0,26.0,33.0,6834.0,21.0,27.0,14.0,18.0,14.0,27.0,107.0,7.0,33.0,18.0,23.0,55.0,707.0,389.0,7516.0,1417.0,32.0,256,49.0,52.0,159.0
True,False,0 ug/ml,42.0,11.0,36.0,29.0,40.0,2116.0,19.0,40.0,16.0,15.0,11.0,12.0,83.0,21.0,38.0,11.0,53.0,64.0,1353.0,403.0,7639.0,1365.0,49.0,218,191.0,48.0,3784.0
True,False,0 ug/ml,11.0,22.0,31.0,42.0,45.0,8990.0,10.0,37.0,11.0,20.0,15.0,15.0,172.0,131.0,57.0,23.0,39.0,26.0,885.0,2161.0,5920.0,3178.0,72.0,382,310.0,60.0,167.0
True,False,0 ug/ml,32.0,16.0,39.0,27.0,30.0,7701.0,11.0,34.0,19.0,27.0,41.0,13.0,89.0,17.0,46.0,41.0,43.0,62.0,936.0,942.0,6960.0,2768.0,51.0,448,471.0,74.0,4216.0
True,False,0 ug/ml,19.0,49.0,46.0,19.0,36.0,6467.0,30.0,46.0,23.0,26.0,24.0,16.0,148.0,26.0,65.0,11.0,35.0,23.0,620.0,1228.0,6013.0,2134.0,65.0,542,213.0,69.0,48.0
True,False,0 ug/ml,8.0,15.0,51.0,9.0,36.0,2233.0,6.0,30.0,30.0,20.0,21.0,20.0,118.0,10.0,65.0,7.0,31.0,370.0,923.0,985.0,4127.0,3782.0,69.0,282,412.0,37.0,2520.0
True,False,0 ug/ml,12.0,14.0,50.0,26.0,90.0,7273.0,23.0,38.0,15.0,21.0,25.0,13.0,361.0,13.0,35.0,17.0,102.0,63.0,735.0,1775.0,5676.0,2181.0,43.0,261,164.0,37.0,1105.0
True,False,0 ug/ml,17.0,18.0,53.0,29.0,51.0,6119.0,14.0,26.0,13.0,9.0,21.0,17.0,126.0,8.0,24.0,23.0,45.0,42.0,818.0,514.0,160.0,3145.0,37.0,381,376.0,33.0,2174.0
True,False,0 ug/ml,13.0,30.0,43.0,38.0,63.0,5932.0,6.0,22.0,18.0,14.0,14.0,31.0,175.0,9.0,82.0,12.0,35.0,22.0,1136.0,607.0,6588.0,2825.0,83.0,395,344.0,52.0,2505.0
True,False,0 ug/ml,55.0,15.0,41.0,26.0,43.0,6419.0,19.0,31.0,9.0,19.0,21.0,16.0,95.0,6.0,35.0,25.0,108.0,29.0,1226.0,510.0,3077.0,4571.0,22.0,113,748.0,48.0,265.0
True,False,0 ug/ml,16.0,12.0,115.0,18.0,37.0,7518.0,26.0,138.0,14.0,19.0,41.0,21.0,447.0,47.0,36.0,12.0,81.0,43.0,949.0,1427.0,7175.0,2320.0,42.0,296,415.0,278.0,2880.0
True,False,0 ug/ml,10.0,382.0,977.0,34.0,47.0,7445.0,12.0,42.0,17.0,21.0,20.0,27.0,138.0,21.0,62.0,13.0,43.0,45.0,727.0,659.0,5947.0,3292.0,46.0,435,255.0,39.0,3396.0
True,False,0 ug/ml,23.0,21.0,40.0,17.0,264.0,15354.0,21.0,24.0,18.0,13.0,18.0,13.0,98.0,10.0,26.0,15.0,62.0,44.0,13.0,254.0,5895.0,3838.0,50.0,467,374.0,44.0,1387.0
True,False,0 ug/ml,16.0,16.0,34.0,44.0,49.0,6608.0,17.0,33.0,14.0,18.0,13.0,19.0,91.0,6.0,53.0,15.0,45.0,37.0,1045.0,1338.0,6293.0,1725.0,147.0,380,435.0,84.0,1568.0
True,False,0 ug/ml,18.0,26.0,33.0,22.0,44.0,6463.0,18.0,31.0,16.0,19.0,11.0,19.0,136.0,11.0,206.0,16.0,47.0,47.0,1114.0,1196.0,6720.0,5018.0,45.0,480,468.0,59.0,2779.0
True,False,0 ug/ml,28.0,14.0,46.0,62.0,57.0,8512.0,8.0,34.0,19.0,29.0,28.0,26.0,109.0,11.0,12.0,8.0,46.0,53.0,1217.0,1366.0,5262.0,981.0,46.0,266,445.0,59.0,2436.0
True,False,0 ug/ml,45.0,19.0,88.0,21.0,66.0,5768.0,110.0,31.0,13.0,26.0,20.0,7.0,188.0,105.0,46.0,83.0,40.0,41.0,1752.0,1248.0,7733.0,4256.0,51.0,203,82.0,35.0,2265.0
True,False,0 ug/ml,13.0,14.0,96.0,86.0,19.0,55.0,18.0,22.0,25.0,24.0,25.0,30.0,117.0,15.0,43.0,18.0,82.0,39.0,1308.0,1546.0,4856.0,4248.0,56.0,255,365.0,49.0,3650.0
True,False,0 ug/ml,14.0,2.0,34.0,32.0,68.0,6451.0,11.0,9.0,13.0,13.0,20.0,26.0,137.0,16.0,47.0,34.0,44.0,39.0,1287.0,2252.0,1583.0,2595.0,71.0,292,433.0,21.0,3491.0
True,False,0 ug/ml,41.0,18.0,32.0,23.0,45.0,6744.0,19.0,47.0,15.0,14.0,24.0,27.0,158.0,11.0,28.0,28.0,51.0,61.0,2260.0,1339.0,6378.0,1392.0,33.0,271,992.0,47.0,3741.0
True,False,0 ug/ml,13.0,11.0,67.0,27.0,62.0,11442.0,26.0,7.0,14.0,15.0,16.0,17.0,218.0,29.0,35.0,16.0,44.0,42.0,850.0,1454.0,5642.0,4201.0,57.0,396,51.0,54.0,3151.0
True,False,0 ug/ml,16.0,13.0,30.0,23.0,42.0,8152.0,22.0,61.0,15.0,15.0,26.0,24.0,33.0,11.0,28.0,23.0,31.0,50.0,1029.0,1690.0,7883.0,4967.0,58.0,318,3384.0,29.0,2106.0
True,False,0 ug/ml,15.0,17.0,84.0,50.0,68.0,6703.0,20.0,10.0,30.0,15.0,12.0,25.0,98.0,17.0,25.0,14.0,45.0,56.0,988.0,1337.0,6092.0,2891.0,40.0,376,370.0,179.0,1958.0
True,False,0 ug/ml,18.0,17.0,57.0,19.0,42.0,6342.0,9.0,58.0,20.0,17.0,27.0,25.0,103.0,11.0,39.0,16.0,44.0,73.0,897.0,1168.0,5706.0,2920.0,55.0,244,444.0,39.0,3124.0
True,False,0 ug/ml,15.0,19.0,48.0,38.0,35.0,6793.0,10.0,19.0,20.0,29.0,28.0,27.0,530.0,53.0,70.0,16.0,68.0,45.0,2718.0,1382.0,5730.0,2399.0,45.0,335,354.0,35.0,3083.0
True,False,0 ug/ml,31.0,23.0,40.0,51.0,55.0,7120.0,11.0,25.0,14.0,77.0,12.0,16.0,121.0,10.0,45.0,33.0,56.0,49.0,1133.0,369.0,8502.0,4086.0,54.0,381,431.0,35.0,2693.0
True,False,0 ug/ml,18.0,51.0,40.0,82.0,43.0,6894.0,28.0,29.0,33.0,17.0,19.0,25.0,150.0,18.0,41.0,14.0,22.0,44.0,716.0,1204.0,6429.0,3083.0,28.0,405,469.0,23.0,2558.0
True,False,0 ug/ml,40.0,23.0,48.0,17.0,66.0,6274.0,9.0,31.0,22.0,22.0,24.0,30.0,97.0,13.0,35.0,49.0,56.0,34.0,798.0,937.0,5468.0,4733.0,29.0,215,422.0,73.0,1744.0
True,False,0 ug/ml,19.0,11.0,94.0,18.0,32.0,8083.0,20.0,42.0,35.0,35.0,14.0,20.0,115.0,14.0,30.0,20.0,61.0,74.0,1107.0,61.0,6278.0,4182.0,38.0,351,289.0,55.0,2440.0
True,False,0 ug/ml,16.0,21.0,36.0,19.0,38.0,9004.0,25.0,38.0,12.0,25.0,13.0,23.0,269.0,13.0,35.0,13.0,65.0,37.0,1182.0,1153.0,5498.0,2921.0,40.0,299,47.0,14.0,3178.0
True,False,0 ug/ml,14.0,17.0,53.0,37.0,32.0,6259.0,21.0,42.0,12.0,20.0,21.0,20.0,84.0,17.0,140.0,18.0,149.0,43.0,1093.0,283.0,4914.0,2948.0,8.0,250,223.0,33.0,3837.0
True,False,0 ug/ml,18.0,12.0,47.0,18.0,52.0,708.0,11.0,24.0,25.0,91.0,9.0,24.0,86.0,26.0,28.0,14.0,35.0,60.0,1179.0,341.0,6847.0,2764.0,110.0,384,789.0,90.0,3060.0
True,False,0 ug/ml,10.0,20.0,48.0,30.0,33.0,1662.0,16.0,51.0,24.0,16.0,14.0,21.0,82.0,24.0,28.0,60.0,42.0,46.0,1214.0,178.0,5906.0,2922.0,80.0,171,461.0,57.0,3770.0
True,False,0 ug/ml,17.0,16.0,29.0,35.0,49.0,7607.0,7.0,50.0,23.0,38.0,16.0,17.0,144.0,11.0,31.0,26.0,54.0,49.0,1225.0,826.0,5803.0,2861.0,77.0,249,951.0,53.0,2428.0
True,False,0 ug/ml,19.0,12.0,35.0,24.0,53.0,6042.0,12.0,30.0,17.0,18.0,33.0,30.0,300.0,21.0,41.0,33.0,21.0,50.0,855.0,1374.0,7897.0,2524.0,57.0,315,173.0,47.0,2510.0
True,False,0 ug/ml,21.0,10.0,64.0,19.0,39.0,6395.0,52.0,44.0,22.0,17.0,25.0,27.0,133.0,18.0,32.0,12.0,34.0,64.0,779.0,265.0,9335.0,3141.0,67.0,203,401.0,62.0,2596.0
True,False,0 ug/ml,29.0,12.0,41.0,24.0,567.0,7865.0,25.0,32.0,19.0,28.0,61.0,47.0,153.0,8.0,41.0,38.0,24.0,71.0,653.0,745.0,6201.0,2994.0,41.0,294,519.0,25.0,539.0
True,False,0 ug/ml,21.0,19.0,44.0,22.0,53.0,6564.0,29.0,23.0,29.0,15.0,37.0,29.0,103.0,18.0,53.0,16.0,34.0,59.0,1228.0,474.0,5732.0,2267.0,40.0,4450,497.0,52.0,3687.0
True,False,0 ug/ml,16.0,11.0,45.0,16.0,50.0,7723.0,17.0,26.0,27.0,62.0,23.0,21.0,112.0,13.0,47.0,24.0,26.0,36.0,1022.0,356.0,5485.0,3331.0,41.0,136,71.0,63.0,3368.0
True,False,0 ug/ml,17.0,12.0,21.0,29.0,32.0,5896.0,43.0,44.0,15.0,30.0,12.0,17.0,145.0,8.0,26.0,2.0,8.0,26.0,928.0,1713.0,5549.0,2271.0,61.0,217,624.0,34.0,3025.0
True,False,0 ug/ml,15.0,13.0,90.0,28.0,45.0,7229.0,19.0,40.0,32.0,33.0,20.0,22.0,82.0,14.0,43.0,19.0,41.0,52.0,930.0,34.0,6342.0,2833.0,69.0,317,367.0,54.0,2552.0
True,False,0 ug/ml,23.0,14.0,42.0,18.0,42.0,7107.0,130.0,91.0,30.0,18.0,19.0,21.0,100.0,20.0,51.0,13.0,56.0,21.0,1453.0,233.0,5598.0,2570.0,96.0,221,425.0,70.0,3052.0
True,False,0 ug/ml,39.0,13.0,54.0,22.0,37.0,5863.0,14.0,58.0,21.0,17.0,52.0,14.0,185.0,10.0,38.0,10.0,74.0,63.0,1282.0,1444.0,5040.0,4091.0,83.0,226,1637.0,49.0,2698.0
True,False,0 ug/ml,17.0,38.0,75.0,18.0,91.0,2091.0,36.0,32.0,22.0,20.0,20.0,28.0,119.0,22.0,35.0,32.0,50.0,42.0,918.0,436.0,5728.0,3485.0,67.0,720,658.0,50.0,2632.0
True,False,0 ug/ml,44.0,18.0,28.0,37.0,29.0,6088.0,53.0,47.0,12.0,24.0,15.0,22.0,78.0,25.0,35.0,30.0,55.0,36.0,886.0,22.0,1757.0,2284.0,56.0,376,487.0,2.0,3596.0
True,False,0 ug/ml,20.0,17.0,45.0,58.0,66.0,7313.0,43.0,38.0,16.0,24.0,22.0,15.0,122.0,17.0,37.0,25.0,53.0,39.0,1459.0,1250.0,6561.0,20.0,55.0,289,391.0,37.0,2824.0
True,False,0 ug/ml,14.0,16.0,57.0,48.0,47.0,7553.0,16.0,26.0,18.0,26.0,19.0,22.0,122.0,56.0,31.0,12.0,65.0,44.0,1079.0,857.0,7833.0,4343.0,70.0,221,203.0,51.0,3292.0
True,False,0 ug/ml,10.0,23.0,43.0,26.0,35.0,4728.0,19.0,32.0,14.0,13.0,39.0,34.0,271.0,9.0,35.0,17.0,38.0,40.0,2310.0,1226.0,8929.0,2904.0,59.0,319,427.0,68.0,3963.0
True,False,0 ug/ml,26.0,29.0,30.0,23.0,43.0,6013.0,11.0,57.0,25.0,27.0,30.0,23.0,1477.0,18.0,50.0,24.0,56.0,41.0,5.0,25.0,6983.0,4170.0,47.0,295,73.0,30.0,1545.0
