Group,G-CSF,Eotaxin,GM-CSF,IL-1a,Leptin,MIP-1a,lL-4,IL-1b,IL-2,IL-6,EGF,IL-13,IL-10,IL-12p70,IFN-y,IL-5,IL-17A,IL-18,MCP-1,IP-10,GRO/KC/CINC-1,VEGF,Fractalkine,LIX,MIP-2,TNF-a,RANTES
Endothelial 0,0.0,22.54809557569081,0.0,0.0,0.0,0.0,0.0,4.833720222548295,0.0,0.0,0.0,16.316533362514832,45.63431913077777,0.0,0.0,28.37964160136236,0.0,0.0,0.0,134.56160628204253,0.0,279.1828397849972,1.3777897965443784,64.75410361951913,0.0,0.0,0.0
Endothelial 0,0.0,20.64270638999568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1234.4808094085256,0.0,22.06456565177497,0.0,0.0,0.0,0.0,23.618227933395328,0.0,0.0,48.51251646273332,0.0,0.0,0.0,49.44828633557836,0.0,0.0,0.0
Endothelial 0,4.679772574491581,20.64270638999568,0.0,0.0,0.0,0.5887595110561655,0.0,0.0,0.0,0.0,0.0,0.0,22.12811084543271,0.0,0.0,0.0,0.0,0.0,0.0,143.00404176833777,0.0,184.56661143725998,0.0,57.29759867402832,0.0,0.0,8.922612165941326
Endothelial 0,0.9035754065700855,14.117775698683252,0.0,0.0,0.0,3.3465289484621104,2.519374176847369,6.9022350922227895,0.0,0.0,0.0,4.817530300536292,0.0,0.0,0.0,0.0,45.14215300090472,0.0,150.6548715018942,136.988910694085,0.0,169.48670847493088,0.0,31.132784903179065,0.0,0.21274505316559705,0.0
Endothelial 0,0.0,10.056323351799188,0.0,0.0,18.503818898593362,7.256807959120407,16.01015242598781,0.0,0.0,0.0,0.0,0.0,113.04667881381266,0.0,0.0,46.301152548364406,0.0,0.0,225.36522022381627,200.20319244644082,0.0,162.93490414935692,12.252506862921,61.40782688202244,0.0,0.0,0.4145808409772574
Endothelial 0,3.0631210984036605,14.117775698683252,0.0,0.0,132.6599542874242,4.183244919205752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.68698456606194,154.43393471533727,262.1547463799273,413.7429327757768,0.0,32.005577985148804,0.0,0.0,0.0
Endothelial 0,2.647545996819848,14.117775698683252,0.0,0.0,6334.736169252936,4.9103952180161174,24.826474067091894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.38196323998704,0.0,0.0,0.0,325.68698456606194,181.0980701770526,0.0,228.3368823544229,0.0,66.07414041598425,0.0,0.0,0.0
Endothelial 0,2.2257612543948238,8.467478997881107,0.0,0.0,55.12120125587842,0.0,0.0,13.912946753504235,0.0,198.20662972743173,0.0,0.0,0.0,0.0,0.0,63.315259861350825,0.0,0.0,0.0,244.5780364784211,0.0,172.74190813245386,0.0,264.33806146783894,0.0,0.0,0.0
Endothelial 0,2.2257612543948238,20.64270638999568,0.0,0.0,0.0,5.565055892663311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.38878288220049,0.0,0.0,150.6548715018942,250.3913661324288,487.5563312960271,178.13788419747075,0.0,24.724941754639957,0.0,0.0,0.995933099529291
Endothelial 0,0.0,15.318446982418033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56919117732935,16.316533362514832,0.0,0.0,0.0,0.0,0.0,0.0,280.2420575801349,174.35383932541689,0.0,440.5638832243001,2.0205102925963927,54.493869434246655,0.0,0.0,0.0
Endothelial 0,13.299903691545518,11.50562411473506,0.0,0.0,42.50892908141528,0.0,0.0,0.0,0.0,0.0,0.0,4.817530300536292,27.82701441216197,0.0,0.0,0.0,0.0,0.0,0.0,152.87211496857626,133.2210560218402,423.6171872655525,0.0,41.08632315719941,0.0,0.0,1.0609553304740411
Endothelial 0,0.9035754065700855,11.50562411473506,0.0,0.0,91.29298921376508,0.0,0.0,1.6147928896361194,0.0,0.0,0.0,0.0,0.0,0.0,13.170695056187277,46.301152548364406,0.0,0.0,0.0,234.92051310566484,270.23154796486097,236.46173101992244,0.0,439.1719742131133,0.0,0.0,0.0
Endothelial 0,11.121346937899977,11.50562411473506,0.0,0.0,0.0,4.9103952180161174,0.0,0.0,0.0,0.0,0.0,13.066389375023041,9.781179820061249,0.0,0.0,0.0,0.0,0.0,0.0,90.95479065830143,0.0,192.00600899046518,0.0,93.05732089754814,0.0,0.0,1.1260425415674562
Endothelial 0,0.42651269330193475,14.117775698683252,3.730649178926926,0.0,0.0,0.0,0.0,16.848347261664227,0.0,0.0,0.0,0.0,0.0,43.756821548553376,198.70728308007565,0.0,0.0,23.852321629359057,0.0,240.10728403984683,0.0,279.1828397849972,0.0,49.44828633557836,0.0,2.6775980160166313,0.0
Endothelial 0,0.0,18.62464134949013,0.0,0.0,72.25574552145761,0.0,0.0,0.0,0.0,0.0,0.3509357193604079,4.817530300536292,0.0,0.0,222.38196323998704,51.02405829119156,0.0,0.0,0.0,180.3522398821542,0.0,297.6126605381769,0.0,38.69307127881702,261.8118904098056,0.0,0.0
Endothelial 0,1.7963230154815604,28.575712830340425,0.0,0.0,0.0,0.0,0.0,1.6147928896361194,0.0,0.0,0.0,19.289984882300036,0.0,0.0,0.0,19.541172435812523,0.0,50.17326326697417,0.0,123.47595264584194,0.0,328.12557751625405,3.856128987042473,53.7843327459691,0.0,0.0,0.0
Endothelial 0,0.42651269330193475,11.50562411473506,0.0,13.916828687218576,0.0,0.5887595110561655,0.0,0.0,0.0,0.0,0.0,0.0,9.781179820061249,0.0,0.0,41.107762682281376,0.0,0.0,695.1186646401303,238.38176822121298,177.3257649689736,224.25121005711938,0.0,46.475165582081935,0.0,0.0,0.0
Endothelial 0,0.0,18.62464134949013,22.817079122560493,0.0,0.0,6.166985229004778,0.0,1.6147928896361194,5.864495569341383,0.0,0.0,24.686232991105022,11.970852677094555,0.0,0.0,35.255666537533386,0.0,0.0,543.9732498284595,158.70600111475224,0.0,264.44945531167247,1.3777897965443784,23.758731944218734,0.0,0.0,0.0
Endothelial 0,5.4675640867711195,11.50562411473506,0.0,0.0,0.0,7.256807959120407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.4024442881562,298.4031439549971,210.8595196822731,15.963592681940945,69.33125321255419,0.0,0.0,0.0
Endothelial 0,14.376589955132866,12.851903741967082,0.0,102.54249878312741,0.0,4.183244919205752,16.01015242598781,0.0,0.0,0.0,0.0,0.0,63.92253592856291,0.0,0.0,152.47812156033945,18.337440599562544,0.0,0.0,144.99289612788633,0.0,268.3950412918779,0.0,57.29759867402832,0.0,0.0,0.995933099529291
Endothelial 0,0.0,21.60806754584244,0.0,0.0,1178.6483422885183,0.0,2.519374176847369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.08515436333704,0.0,0.0,0.0,0.0,160.6370281026607,0.0,326.2364497808918,0.0,83.03615976302534,0.0,0.0,0.0
Endothelial 0,0.0,14.117775698683252,0.0,0.0,0.0,5.565055892663311,0.0,0.0,0.0,0.0,0.0,13.066389375023041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.23186531687512,0.0,149.65373618482076,1.3777897965443784,64.09022406188082,0.0,0.0,0.0
Endothelial 0,0.0,23.465071964840995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.95343861324915,2.898762368704901,0.0,225.36522022381627,56.54180115790224,0.0,201.48043697182928,0.0,57.9903021442672,0.0,0.0,0.0
Endothelial 0,3.0631210984036605,18.62464134949013,0.0,0.0,0.0,8.237062408439915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.96560935444688,19.684053189011884,0.0,325.68698456606194,137.39225421002666,0.0,378.3320525495777,0.0,26.615289836523637,0.0,0.0,0.0
Endothelial 0,1.7963230154815604,23.465071964840995,0.0,40.84636540959009,814.8151684524494,4.9103952180161174,0.0,0.0,30.78558163890477,0.0,0.0,22.06456565177497,0.0,0.0,0.0,35.255666537533386,0.0,0.0,0.0,185.92521716277872,0.0,274.29046595806534,0.0,64.09022406188082,0.0,0.0,13.258684997171319
Endothelial 0,0.0,18.62464134949013,0.0,0.0,0.0,0.0,32.25224027114133,0.0,0.0,0.0,1.336259386005438,13.066389375023041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.47948552359776,507.1661763864833,167.30900565503268,0.0,73.16444387618279,0.0,0.0,0.0
Endothelial 0,3.8793625599183543,11.50562411473506,0.0,0.0,0.0,4.9103952180161174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.1144760537979,0.0,222.20237921787216,5.612010934339394,30.25047288406645,0.0,0.0,0.0
Endothelial 0,3.8793625599183543,15.318446982418033,0.0,0.0,0.0,0.5887595110561655,100.64388818512955,0.0,0.0,0.0,0.0,13.066389375023041,29.68102478648191,0.0,0.0,46.301152548364406,0.0,0.0,0.0,140.20621660115114,645.8444136448838,0.0,0.0,80.00157367448583,0.0,0.0,0.0
Endothelial 0,0.9035754065700855,11.50562411473506,0.0,0.0,268.61312069088393,0.5887595110561655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.502769124754432,0.0,0.0,170.19604460018581,0.0,297.6126605381769,11.174599032048022,34.571222387687044,0.0,0.0,0.09705229341874122
Endothelial 0,0.0,17.564752390555533,0.0,113.48601184771492,0.0,13.906699222238583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.337440599562544,0.0,0.0,119.2972543376354,713.228673388496,307.2157105259932,0.0,22.777136273564558,54.05101794510002,0.0,0.8012992917367662
Endothelial 0,8.151664618528573,14.117775698683252,0.0,0.0,0.0,3.3465289484621104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.970188329280884,0.0,365.31940213048824,56.54180115790224,206.3558355026704,211.89603188032086,0.0,139.30729130511608,0.0,6.259092471165801,7.306118224189541
Endothelial 0,0.0,19.649310935771837,0.0,50.122992273837745,0.0,7.256807959120407,108.31756054461029,0.0,0.0,2091.2909883902175,0.0,0.0,0.0,0.0,120.6182710351033,0.0,0.0,0.0,280.2420575801349,41.7914338472346,153.33512350208113,596.3300606807362,0.0,129.76310465211165,0.0,0.0,0.4145808409772574
Endothelial 0,0.0,11.50562411473506,0.0,0.0,0.0,0.0,0.0,6.9022350922227895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.38878288220049,0.0,0.0,0.0,64.74629623274396,264.19945915492656,276.2496179471806,0.0,219.80099304537353,0.0,0.0,0.0
Endothelial 0,1.7963230154815604,8.467478997881107,0.0,13.916828687218576,0.0,4.183244919205752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.315259861350825,0.0,0.0,0.0,173.97702245216203,0.0,316.756032551477,0.7049303904479471,21.778957026581015,0.0,0.0,0.0
Endothelial 0,5.075092872727416,14.117775698683252,0.0,0.0,9.779222634849688,4.183244919205752,0.0,0.0,0.0,0.0,0.0,48.273285611395856,0.0,0.0,0.0,0.0,11.23677954935871,0.0,568.1316719307974,96.3640019150931,0.0,227.31694620083377,0.0,31.132784903179065,0.0,0.0,1.9768590642827932
Endothelial 0,0.0,12.851903741967082,0.0,6.900329097653378,24.048010757039428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.20362937469065,0.0,0.0,0.0,0.0,0.0,15.979207195605465,0.0,490.6470826027318,0.0,86.02915101302689,0.0,0.0,0.0
Endothelial 0,1.7963230154815604,16.464752915628065,0.0,0.0,0.0,2.3108903250541113,0.0,0.0,0.0,0.0,0.0,42.480778138980334,399.69083302280455,0.0,101.04267092234852,59.46878308579808,0.0,0.0,0.0,186.66472334450353,233.7690034483832,255.52552152614834,8.435669722683688,32.005577985148804,0.0,0.0,0.0
Endothelial 0,6.630133843914505,17.564752390555533,0.0,0.0,37.34888705358635,12.235754330983536,0.0,0.0,0.0,0.0,0.14271709882469497,44.44997202013231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.36288364541112,0.0,476.6965762220667,22.666858062710848,56.601675835487534,0.0,0.0,0.0
Endothelial 0,0.0,12.851903741967082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.90501695242352,0.0,0.0,0.0,0.0,152.08949707954363,427.9225106895612,258.5074344218157,0.0,50.180817402493034,0.0,0.0,0.9309798678702765
Endothelial 0,0.0,21.60806754584244,0.0,0.0,0.0,0.0,0.0,1.6147928896361194,0.0,0.0,0.0,0.0,0.0,0.0,174.04480179076245,35.255666537533386,0.0,0.0,0.0,154.82368493337268,83.82098136709644,320.55523749137205,0.0,33.72439463526696,0.0,0.0,0.8012992917367662
Endothelial 0,1.7963230154815604,16.464752915628065,0.0,0.0,37.34888705358635,2.3108903250541113,0.0,4.833720222548295,0.0,0.0,0.0,9.38355589747508,0.0,0.0,13.170695056187277,0.0,0.0,0.0,0.0,176.23449703489803,0.0,379.2483170307718,10.087239604005346,60.04976482416374,0.0,0.0,0.0
Endothelial 0,1.7963230154815604,12.851903741967082,30.74931987975185,0.0,239.2197684051004,11.519292072099988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.714632001065354,0.0,0.0,41.217119353057896,0.0,225.27411669142643,0.0,24.724941754639957,0.0,0.0,0.0
Endothelial 0,1.7963230154815604,14.117775698683252,0.0,0.0,0.0,4.9103952180161174,0.0,20.71810472848545,0.0,0.0,0.0,13.066389375023041,0.0,0.0,190.60649296740712,63.315259861350825,0.0,0.0,543.9732498284595,162.9455928380479,0.0,290.8515702965433,0.0,38.69307127881702,0.0,0.0,5.495497594046806
Endothelial 0,0.0,15.318446982418033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.066389375023041,0.0,0.0,0.0,0.0,0.0,0.0,400.9090361678963,139.80522240873393,0.0,246.53462832765527,0.7049303904479471,29.358143200739068,0.0,0.0,0.0
Endothelial 0,0.0,15.318446982418033,0.0,0.0,18.503818898593362,0.0,0.0,0.0,22.99055401292081,0.0,0.0,4.817530300536292,0.0,0.0,0.0,83.08078187139002,0.0,28.848517009649186,325.68698456606194,64.74629623274396,0.0,313.90034997224234,2.0205102925963927,24.724941754639957,0.0,0.0,0.0
Endothelial 0,6.244893149452753,552.6938983990126,0.0,0.0,0.0,2.3108903250541113,0.0,0.0,0.0,957.8269844817703,0.0,22.06456565177497,0.0,0.0,0.0,28.37964160136236,0.0,0.0,0.0,143.00404176833777,494.8743009324627,236.46173101992244,0.0,41.08632315719941,0.0,0.0,0.22321035759250327
Endothelial 0,0.0,15.318446982418033,0.0,0.0,0.0,4.9103952180161174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.17623712489632,46.301152548364406,0.0,0.0,0.0,1101.1385409759387,0.0,189.88694129265207,0.0,33.72439463526696,0.0,0.0,0.0
Endothelial 0,0.42651269330193475,18.62464134949013,0.0,0.0,18.503818898593362,10.768735897073904,0.0,0.0,0.0,0.0,0.0,9.38355589747508,0.0,0.0,0.0,51.02405829119156,0.0,0.0,0.0,132.52917830672914,0.0,244.52719604611963,0.7049303904479471,21.778957026581015,0.0,3.2880562022935944,0.28678565109573406
Endothelial 0,0.0,4.513777297338367,0.0,50.122992273837745,9.779222634849688,13.256705553255967,0.0,0.0,52.80693740849086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.52917830672914,247.31796361391977,180.28630682966948,0.0,94.78274899685734,0.0,0.0,4.2275646679660035
Endothelial 0,10.754584353541874,17.564752390555533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.289984882300036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.36017948934875,264.19945915492656,140.6555557204396,0.0,28.45524864958045,0.0,0.0,0.0
Endothelial 0,6.244893149452753,10.056323351799188,0.0,0.0,0.0,8.696094243845346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.9138084237462,0.0,55.38878288220049,9.714632001065354,0.0,0.0,126.78957377985512,240.6490018779712,260.4913077612655,0.0,81.8274692124033,0.0,0.0,0.5430221177545971
Endothelial 0,1.3569589615223472,11.50562411473506,0.0,0.0,0.0,3.3465289484621104,24.826474067091894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.77244780960814,0.0,306.2582768896121,0.0,51.63375549510896,0.0,0.0,0.0
Endothelial 0,7.394539552158854,16.464752915628065,0.0,0.0,196.5250832450252,10.768735897073904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.38878288220049,0.0,0.0,518.6450756680035,35.33123786300506,0.0,249.53925230636762,0.0,57.29759867402832,54.05101794510002,0.0,0.0
Endothelial 0,0.0,14.117775698683252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.61405119396655,0.0,219.12148510305755,2.6447117968486102,186.14234509716292,27.068147906217163,0.0,0.736583231191835
Endothelial 0,2.2257612543948238,10.056323351799188,0.0,0.0,37.34888705358635,8.237062408439915,0.0,0.0,0.0,0.0,0.0,22.06456565177497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.84070036354797,335.11589494338483,295.68425786090677,6.185453923219481,35.41014751630932,0.0,0.21274505316559705,0.09705229341874122
Endothelial 0,0.0,14.117775698683252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.817530300536292,0.0,0.0,110.97565301998567,0.0,16.970188329280884,0.0,280.2420575801349,165.6272463274913,0.0,384.7363864177796,2.6447117968486102,57.29759867402832,0.0,0.0,7.507844781613723
Endothelial 0,0.0,14.117775698683252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.56148006110774,0.0,333.77940993861944,0.0,67.38418300431803,0.0,0.0,0.0
Endothelial 0,0.0,8.467478997881107,0.0,0.0,0.0,6.728233108360675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.301152548364406,0.0,0.0,0.0,164.09639412920947,0.0,154.10837034396948,2.6447117968486102,45.7205270372839,0.0,1.8791391486227709,0.0
