"Group.1","G.CSF","Eotaxin","GM.CSF","IL.1a","Leptin","MIP.1a","lL.4","IL.1b","IL.2","IL.6","EGF","IL.13","IL.10","IL.12p70","IFN.y","IL.5","IL.17A","IL.18","MCP.1","IP.10","GRO.KC.CINC.1","VEGF","Fractalkine","LIX","MIP.2","TNF.a","RANTES"
"Endothelial 0",2.372066652125,17.6193888225,5.908810245,4.5540357975,29.32042472125,3.47584872625,7.88492070375,2.944633761,3.632843567375,42.1853015,0.269015185875,7.94486795,8.40588291875,13.29445035,52.063087875,17.3574546875,2.51908378875,1.50770065625,113.15040475,169.898049187812,128.6331269875,246.03894302125,4.47508504775,57.37677555375,4.43362096,0.833747038875,1.2614767270625
"Endothelial 20",2.86362235825,19.2163119125,14.64833551375,11.984168975,210.19436123125,4.285516252,13.57659100875,5.824915016375,6.299239879375,88.578325625,0.23783692375,9.38117552875,14.74632878375,39.778383375,66.536667125,23.209813,4.49392153625,2.17483712625,178.232399625,293.247809397812,178.03345705,388.677347525,2.7606643155,71.18199304,12.46645319,1.232310672,8.6831823859625
"Microglial 0",4.017637575,23.4822949775,44.1323161325,29.89939879,231.94209515875,397351.947633768,33.34893366125,28.800606323125,20.363471362625,184.303089625,0.347172859125,17.98113306375,12.058257515,52.238711,115.432723425,78.235171775,9.81092134875,64.8288266675,11302.983516125,98.6542360565625,261.8979521625,100.54874283125,4.392571772,133.90846332125,154.4942377,9.821087601125,1.4688959186625
"Microglial 20",4.180928713375,22.57016234625,39.5673573925,30.99886789875,359.9343182175,21102.9829881375,29.820862935,18.424727018625,16.978499619,176.29944525,0.341423465875,14.34504115125,25.7376678275,41.35912245,130.6547162,76.386833675,10.59692078375,33.09163948375,15107.85036975,117.92811385125,222.0097076125,107.78155973,13.943524257875,97.72259203375,223.9676064325,9.06677293,1.0713916796375
"Mixed 0",5.063325562125,24.685715215,42.59054997,32.7727261325,94.1816625825,18942.729640315,41.36169147875,18.3744365615,20.879587024375,351.84832675,0.38828717,25.41298478625,112.07130749375,82.716930575,124.9927970625,68.2208094125,12.47913358,44.5746056925,6153.894404875,517.42208925,2342.4518555,2405.9100423625,34.12499681325,149.329446425,244.2248358,3.3770178585,216.78534374125
"Mixed 20",4.166637750125,25.72790262375,29.09114590625,28.91570004875,130.10701969,4107.85822887,37.93970867125,10.384997003625,13.1212091595,270.40799925,0.48714183975,23.1078167375,75.84197742,76.9637403375,155.1980740875,58.762213775,11.8074834225,35.85482389625,3806.509933625,564.092942911563,1247.960476375,2011.8324139,26.306735522375,116.6500457725,133.44460750875,4.0379313805,154.674708736
